=== CLIENTS ===
client_id,name,internal_account_code,created_at,updated_at
CL170193718,1000 Hills Spar,RE-COR-RAW-SPR-3708,2025-09-13T14:53:37.019875+00:00,2025-09-13T14:53:37.019881+00:00
CL181423718,1000 Hills Spar,RE-COR-RAW-SPR-3708,2025-09-13T14:53:38.473705+00:00,2025-09-13T14:53:38.473707+00:00
CL141111414,3 Amigo's,BU-IND-RAW-NA-1407,2025-09-13T14:53:34.111441+00:00,2025-09-13T14:53:34.111448+00:00
CL181241414,3 Amigo's,BU-IND-RAW-NA-1407,2025-09-13T14:53:38.255639+00:00,2025-09-13T14:53:38.255642+00:00
CL164303259,4 Ways Cafe,RE-IND-RAW-NA-3256,2025-09-13T14:53:36.430700+00:00,2025-09-13T14:53:36.430707+00:00
CL181393259,4 Ways Cafe,RE-IND-RAW-NA-3256,2025-09-13T14:53:38.469839+00:00,2025-09-13T14:53:38.469841+00:00
CL149842110,844503621,RE-COR-RAW-MAK-2106,2025-09-13T14:53:34.984648+00:00,2025-09-13T14:53:34.984655+00:00
CL181302110,844503621,RE-COR-RAW-MAK-2106,2025-09-13T14:53:38.338467+00:00,2025-09-13T14:53:38.338469+00:00
CL138591211,A.L. Botha,RE-COR-RAW-NA-1204,2025-09-13T14:53:33.859419+00:00,2025-09-13T14:53:33.859425+00:00
CL181231211,A.L. Botha,RE-COR-RAW-NA-1204,2025-09-13T14:53:38.253785+00:00,2025-09-13T14:53:38.253788+00:00
CL12336005,A1 Eggs,FA-IND-EGG-NA-0005,2025-09-13T14:53:32.336777+00:00,2025-09-13T14:53:32.336783+00:00
CL18114005,A1 Eggs,FA-IND-EGG-NA-0005,2025-09-13T14:53:38.157479+00:00,2025-09-13T14:53:38.157482+00:00
CL164593280,A1 Food Center Acornhoek,RE-IND-RAW-NA-3277,2025-09-13T14:53:36.459418+00:00,2025-09-13T14:53:36.459424+00:00
CL181393280,A1 Food Center Acornhoek,RE-IND-RAW-NA-3277,2025-09-13T14:53:38.470025+00:00,2025-09-13T14:53:38.470027+00:00
CL164313260,A1 Food Store,RE-IND-RAW-NA-3257,2025-09-13T14:53:36.431994+00:00,2025-09-13T14:53:36.432003+00:00
CL181393260,A1 Food Store,RE-IND-RAW-NA-3257,2025-09-13T14:53:38.469847+00:00,2025-09-13T14:53:38.469850+00:00
CL176474232,A1 Food Store Mkhuhlu,RE-IND-EGG-NA-4239,2025-09-13T14:53:37.647354+00:00,2025-09-13T14:53:37.647360+00:00
CL181474232,A1 Food Store Mkhuhlu,RE-IND-EGG-NA-4239,2025-09-13T14:53:38.555420+00:00,2025-09-13T14:53:38.555422+00:00
CL13215707,A1 Supermarket,RE-IND-RAW-NA-0700,2025-09-13T14:53:33.215968+00:00,2025-09-13T14:53:33.215974+00:00
CL18119707,A1 Supermarket,RE-IND-RAW-NA-0700,2025-09-13T14:53:38.164166+00:00,2025-09-13T14:53:38.164168+00:00
CL141691459,AAA Meat - Bloemfontein,BU-IND-RAW-NA-1452,2025-09-13T14:53:34.169871+00:00,2025-09-13T14:53:34.169878+00:00
CL181251459,AAA Meat - Bloemfontein,BU-IND-RAW-NA-1452,2025-09-13T14:53:38.256026+00:00,2025-09-13T14:53:38.256028+00:00
CL160222921,AAA Meat North,BU-IND-RAW-NA-2915,2025-09-13T14:53:36.022674+00:00,2025-09-13T14:53:36.022680+00:00
CL181362921,AAA Meat North,BU-IND-RAW-NA-2915,2025-09-13T14:53:38.345459+00:00,2025-09-13T14:53:38.345462+00:00
CL160232922,AAA Meat vleis South,BU-IND-RAW-NA-2916,2025-09-13T14:53:36.024009+00:00,2025-09-13T14:53:36.024015+00:00
CL181362922,AAA Meat vleis South,BU-IND-RAW-NA-2916,2025-09-13T14:53:38.345467+00:00,2025-09-13T14:53:38.345470+00:00
CL176044195,AB Supermarket,RE-IND-EGG-NA-4198,2025-09-13T14:53:37.604254+00:00,2025-09-13T14:53:37.604261+00:00
CL181464195,AB Supermarket,RE-IND-EGG-NA-4198,2025-09-13T14:53:38.555106+00:00,2025-09-13T14:53:38.555108+00:00
CL13131639,Abattoir/ Andies Poultry Abattoir,AB-IND-RAW-NA-0634,2025-09-13T14:53:33.131781+00:00,2025-09-13T14:53:33.131791+00:00
CL18119639,Abattoir/ Andies Poultry Abattoir,AB-IND-RAW-NA-0634,2025-09-13T14:53:38.163587+00:00,2025-09-13T14:53:38.163590+00:00
CL167383497,Abdul's Family Butchery,BU-IND-RAW-NA-3489,2025-09-13T14:53:36.738714+00:00,2025-09-13T14:53:36.738720+00:00
CL181413497,Abdul's Family Butchery,BU-IND-RAW-NA-3489,2025-09-13T14:53:38.471846+00:00,2025-09-13T14:53:38.471849+00:00
CL141991480,Abdul's Meat Market,BU-IND-RAW-NA-1473,2025-09-13T14:53:34.199922+00:00,2025-09-13T14:53:34.199933+00:00
CL181251480,Abdul's Meat Market,BU-IND-RAW-NA-1473,2025-09-13T14:53:38.256205+00:00,2025-09-13T14:53:38.256207+00:00
CL177644332,Abull Butchery,BU-IND-RAW-NA-4343,2025-09-13T14:53:37.764630+00:00,2025-09-13T14:53:37.764636+00:00
CL181484332,Abull Butchery,BU-IND-RAW-NA-4343,2025-09-13T14:53:38.556268+00:00,2025-09-13T14:53:38.556270+00:00
CL12626230,Acmeret Solutions T/A VFM Eggs,FA-IND-EGG-NA-0228,2025-09-13T14:53:32.627061+00:00,2025-09-13T14:53:32.627069+00:00
CL18116230,Acmeret Solutions T/A VFM Eggs,FA-IND-EGG-NA-0228,2025-09-13T14:53:38.159402+00:00,2025-09-13T14:53:38.159404+00:00
CL160762962,Acres Spar,RE-COR-RAW-SPR-2957,2025-09-13T14:53:36.076364+00:00,2025-09-13T14:53:36.076370+00:00
CL181372962,Acres Spar,RE-COR-RAW-SPR-2957,2025-09-13T14:53:38.345800+00:00,2025-09-13T14:53:38.345802+00:00
CL140101336,Adamis Saverite - Cradock,RE-IND-RAW-NA-1329,2025-09-13T14:53:34.010994+00:00,2025-09-13T14:53:34.011000+00:00
CL181241336,Adamis Saverite - Cradock,RE-IND-RAW-NA-1329,2025-09-13T14:53:38.254968+00:00,2025-09-13T14:53:38.254971+00:00
CL165213331,admin.thembisa@okoland.co.za,PR-IND-RAW-NA-3326,2025-09-13T14:53:36.521839+00:00,2025-09-13T14:53:36.521846+00:00
CL181393331,admin.thembisa@okoland.co.za,PR-IND-RAW-NA-3326,2025-09-13T14:53:38.470450+00:00,2025-09-13T14:53:38.470452+00:00
CL147971968,Advance Meat,BU-COR-RAW-NA-1961,2025-09-13T14:53:34.798001+00:00,2025-09-13T14:53:34.798007+00:00
CL181291968,Advance Meat,BU-COR-RAW-NA-1961,2025-09-13T14:53:38.260460+00:00,2025-09-13T14:53:38.260462+00:00
CL12344011,AEO Beckley and son,FA-IND-RAW-NA-0011,2025-09-13T14:53:32.344229+00:00,2025-09-13T14:53:32.344235+00:00
CL18114011,AEO Beckley and son,FA-IND-RAW-NA-0011,2025-09-13T14:53:38.157533+00:00,2025-09-13T14:53:38.157536+00:00
CL170923773,Afri-Save Cash & Carry,RE-IND-RAW-NA-3763,2025-09-13T14:53:37.092426+00:00,2025-09-13T14:53:37.092432+00:00
CL181433773,Afri-Save Cash & Carry,RE-IND-RAW-NA-3763,2025-09-13T14:53:38.474176+00:00,2025-09-13T14:53:38.474178+00:00
CL172243876,Africa Best Chicken,RE-IND-RAW-NA-3866,2025-09-13T14:53:37.224429+00:00,2025-09-13T14:53:37.224436+00:00
CL181443876,Africa Best Chicken,RE-IND-RAW-NA-3866,2025-09-13T14:53:38.475050+00:00,2025-09-13T14:53:38.475052+00:00
CL181104628,Africa best chickens,RE-IND-EGG-NA-4640,2025-09-13T14:53:38.110606+00:00,2025-09-13T14:53:38.110612+00:00
CL181504628,Africa best chickens,RE-IND-EGG-NA-4640,2025-09-13T14:53:38.558772+00:00,2025-09-13T14:53:38.558774+00:00
CL12337006,Africa Eggs - Bengil Boerdery Trust,FA-IND-EGG-NA-0006,2025-09-13T14:53:32.338013+00:00,2025-09-13T14:53:32.338019+00:00
CL18114006,Africa Eggs - Bengil Boerdery Trust,FA-IND-EGG-NA-0006,2025-09-13T14:53:38.157488+00:00,2025-09-13T14:53:38.157491+00:00
CL162993148,Afrika Tikkun,RE-IND-RAW-NA-3145,2025-09-13T14:53:36.299414+00:00,2025-09-13T14:53:36.299420+00:00
CL181383148,Afrika Tikkun,RE-IND-RAW-NA-3145,2025-09-13T14:53:38.468900+00:00,2025-09-13T14:53:38.468903+00:00
CL153332367,AfriSave Cash & Carry,RE-IND-RAW-NA-2360,2025-09-13T14:53:35.334013+00:00,2025-09-13T14:53:35.334021+00:00
CL181322367,AfriSave Cash & Carry,RE-IND-RAW-NA-2360,2025-09-13T14:53:38.340756+00:00,2025-09-13T14:53:38.340758+00:00
CL164543276,AFT MEATS,BU-IND-RAW-NA-3273,2025-09-13T14:53:36.454720+00:00,2025-09-13T14:53:36.454728+00:00
CL181393276,AFT MEATS,BU-IND-RAW-NA-3273,2025-09-13T14:53:38.469991+00:00,2025-09-13T14:53:38.469993+00:00
CL149172061,Airport Chicken and Meats,BU-IND-RAW-NA-2057,2025-09-13T14:53:34.917533+00:00,2025-09-13T14:53:34.917539+00:00
CL181302061,Airport Chicken and Meats,BU-IND-RAW-NA-2057,2025-09-13T14:53:38.338053+00:00,2025-09-13T14:53:38.338055+00:00
CL172153869,AJM Poultry,FA-IND-RAW-NA-3859,2025-09-13T14:53:37.216007+00:00,2025-09-13T14:53:37.216013+00:00
CL181443869,AJM Poultry,FA-IND-RAW-NA-3859,2025-09-13T14:53:38.474989+00:00,2025-09-13T14:53:38.474991+00:00
CL177664334,Ajmer Butchery,BU-IND-RAW-NA-4345,2025-09-13T14:53:37.766832+00:00,2025-09-13T14:53:37.766838+00:00
CL181484334,Ajmer Butchery,BU-IND-RAW-NA-4345,2025-09-13T14:53:38.556285+00:00,2025-09-13T14:53:38.556287+00:00
CL163623202,AK Butchery,BU-IND-RAW-NA-3199,2025-09-13T14:53:36.362870+00:00,2025-09-13T14:53:36.362877+00:00
CL181383202,AK Butchery,BU-IND-RAW-NA-3199,2025-09-13T14:53:38.469363+00:00,2025-09-13T14:53:38.469365+00:00
CL166633442,Al'Amien butchery,BU-IND-RAW-NA-3436,2025-09-13T14:53:36.663937+00:00,2025-09-13T14:53:36.663945+00:00
CL181403442,Al'Amien butchery,BU-IND-RAW-NA-3436,2025-09-13T14:53:38.471388+00:00,2025-09-13T14:53:38.471391+00:00
CL143521613,Al-Kauthar Halaal Meat,BU-IND-RAW-NA-1606,2025-09-13T14:53:34.352660+00:00,2025-09-13T14:53:34.352666+00:00
CL181261613,Al-Kauthar Halaal Meat,BU-IND-RAW-NA-1606,2025-09-13T14:53:38.257336+00:00,2025-09-13T14:53:38.257338+00:00
CL145731791,AL Mawashi Halaal Butchery,BU-IND-RAW-NA-1784,2025-09-13T14:53:34.573641+00:00,2025-09-13T14:53:34.573653+00:00
CL181271791,AL Mawashi Halaal Butchery,BU-IND-RAW-NA-1784,2025-09-13T14:53:38.258841+00:00,2025-09-13T14:53:38.258843+00:00
CL158422775,AL Mawashi Halaal Butchery East London,BU-IND-RAW-NA-2770,2025-09-13T14:53:35.842429+00:00,2025-09-13T14:53:35.842436+00:00
CL181352775,AL Mawashi Halaal Butchery East London,BU-IND-RAW-NA-2770,2025-09-13T14:53:38.344240+00:00,2025-09-13T14:53:38.344243+00:00
CL174024017,AL Mubarak Supermarket,RE-IND-RAW-NA-4008,2025-09-13T14:53:37.402760+00:00,2025-09-13T14:53:37.402767+00:00
CL181454017,AL Mubarak Supermarket,RE-IND-RAW-NA-4008,2025-09-13T14:53:38.553587+00:00,2025-09-13T14:53:38.553589+00:00
CL135811011,Al Noor Haalal Butchery,BU-IND-RAW-NA-1004,2025-09-13T14:53:33.581880+00:00,2025-09-13T14:53:33.581887+00:00
CL181211011,Al Noor Haalal Butchery,BU-IND-RAW-NA-1004,2025-09-13T14:53:38.251867+00:00,2025-09-13T14:53:38.251869+00:00
CL170723758,Albertina Slaghuis,RE-COR-RAW-FLM-3748,2025-09-13T14:53:37.072564+00:00,2025-09-13T14:53:37.072570+00:00
CL181433758,Albertina Slaghuis,RE-COR-RAW-FLM-3748,2025-09-13T14:53:38.474048+00:00,2025-09-13T14:53:38.474050+00:00
CL13084599,Albros Meat,PR-IND-RAW-NA-0594,2025-09-13T14:53:33.084670+00:00,2025-09-13T14:53:33.084676+00:00
CL18118599,Albros Meat,PR-IND-RAW-NA-0594,2025-09-13T14:53:38.163217+00:00,2025-09-13T14:53:38.163220+00:00
CL12339007,Aldabri (Pack Station),FA-IND-RAW-NA-0007,2025-09-13T14:53:32.339241+00:00,2025-09-13T14:53:32.339247+00:00
CL18114007,Aldabri (Pack Station),FA-IND-RAW-NA-0007,2025-09-13T14:53:38.157498+00:00,2025-09-13T14:53:38.157500+00:00
CL173243954,Alex Biltong,BU-IND-RAW-NA-3945,2025-09-13T14:53:37.324987+00:00,2025-09-13T14:53:37.324994+00:00
CL181443954,Alex Biltong,BU-IND-RAW-NA-3945,2025-09-13T14:53:38.475707+00:00,2025-09-13T14:53:38.475710+00:00
CL173403966,Alex Metro Butchery,BU-IND-RAW-NA-3957,2025-09-13T14:53:37.340166+00:00,2025-09-13T14:53:37.340171+00:00
CL181443966,Alex Metro Butchery,BU-IND-RAW-NA-3957,2025-09-13T14:53:38.475810+00:00,2025-09-13T14:53:38.475812+00:00
CL160662953,Alex Savemor,RE-IND-RAW-NA-2947,2025-09-13T14:53:36.066229+00:00,2025-09-13T14:53:36.066239+00:00
CL181362953,Alex Savemor,RE-IND-RAW-NA-2947,2025-09-13T14:53:38.345724+00:00,2025-09-13T14:53:38.345727+00:00
CL165173328,Alexandria Butchery,BU-IND-RAW-NA-3323,2025-09-13T14:53:36.517746+00:00,2025-09-13T14:53:36.517752+00:00
CL181393328,Alexandria Butchery,BU-IND-RAW-NA-3323,2025-09-13T14:53:38.470425+00:00,2025-09-13T14:53:38.470427+00:00
CL12340008,Alfer Farming,FA-IND-PLT-NA-0008,2025-09-13T14:53:32.340493+00:00,2025-09-13T14:53:32.340500+00:00
CL18114008,Alfer Farming,FA-IND-PLT-NA-0008,2025-09-13T14:53:38.157507+00:00,2025-09-13T14:53:38.157509+00:00
CL167783531,Alive Meats Mdantsane,BU-IND-RAW-NA-3522,2025-09-13T14:53:36.778765+00:00,2025-09-13T14:53:36.778772+00:00
CL181413531,Alive Meats Mdantsane,BU-IND-RAW-NA-3522,2025-09-13T14:53:38.472138+00:00,2025-09-13T14:53:38.472140+00:00
CL175044106,All in All Supermarket,RE-IND-RAW-NA-4096,2025-09-13T14:53:37.504747+00:00,2025-09-13T14:53:37.504753+00:00
CL181454106,All in All Supermarket,RE-IND-RAW-NA-4096,2025-09-13T14:53:38.554349+00:00,2025-09-13T14:53:38.554351+00:00
CL179704508,Allen's Butchery,BU-IND-PLT-NA-4520,2025-09-13T14:53:37.970571+00:00,2025-09-13T14:53:37.970577+00:00
CL181494508,Allen's Butchery,BU-IND-PLT-NA-4520,2025-09-13T14:53:38.557755+00:00,2025-09-13T14:53:38.557757+00:00
CL173934009,Ally Supermarket,RE-IND-RAW-NA-4000,2025-09-13T14:53:37.393892+00:00,2025-09-13T14:53:37.393898+00:00
CL181454009,Ally Supermarket,RE-IND-RAW-NA-4000,2025-09-13T14:53:38.553517+00:00,2025-09-13T14:53:38.553520+00:00
CL140861395,Alma Butchery,BU-IND-RAW-NA-1388,2025-09-13T14:53:34.086899+00:00,2025-09-13T14:53:34.086905+00:00
CL181241395,Alma Butchery,BU-IND-RAW-NA-1388,2025-09-13T14:53:38.255478+00:00,2025-09-13T14:53:38.255480+00:00
CL12341009,Almoro Landgoed CC,FA-IND-RAW-NA-0009,2025-09-13T14:53:32.341752+00:00,2025-09-13T14:53:32.341758+00:00
CL18114009,Almoro Landgoed CC,FA-IND-RAW-NA-0009,2025-09-13T14:53:38.157516+00:00,2025-09-13T14:53:38.157518+00:00
CL12342010,Almur Smit,FA-COR-RAW-NA-0010,2025-09-13T14:53:32.343009+00:00,2025-09-13T14:53:32.343015+00:00
CL18114010,Almur Smit,FA-COR-RAW-NA-0010,2025-09-13T14:53:38.157525+00:00,2025-09-13T14:53:38.157527+00:00
CL143011568,Alpha Butchery,BU-IND-RAW-NA-1561,2025-09-13T14:53:34.301174+00:00,2025-09-13T14:53:34.301180+00:00
